clean_description,skills,dictionary_skills,regex_Phrase_skills,tfidf_keywords,ner_skills,ml_category
job description send me jobs like this microsoft c and dotnet framework 4 0 is a must design patterns like mvc working experience on wcf windows development environment setup knowledge must testing tools knowledge and usage like nunit knowledge of sql server preferred salary not disclosed by recruiter industry it software software services functional area it software application programming maintenance role category programming design role software developer keyskills sql server development windows wcf design patterns microsoft mvc testing tools nunit usage desired candidate profile education ug b tech b e pg post graduation not required doctorate any doctorate any specialization doctorate not required please refer to the job description above company profile coextrix technologies pvt ltd we are an innovative information technology company delivering sustainable and scalable services and solutions with a vision to define the future of excellence the company was started in the year 2009 and named coextrix that signifies a matrix of systems that can co exist and work together for providing greater customer service through operational excellence the company is founded by a team of professionals with diversified talent having a cumulative experience of over 4 decades with a passion to succeed and always available to customers as a reliable and trusted partner download ppt photo 1 view contact details,IT Software - Application Programming,"['C', 'SQL', 'Customer Service']","['C', 'SQL', 'Customer Service']","['mvc', 'patterns', 'excellence', 'windows', 'microsoft', 'server', 'sql', 'software', 'testing', 'tools']","['c', 'customer service', 'sql']",DATABASE
job description send me jobs like this responsibilities reach out to target number of clients in the assigned ors on a daily basis detail out the porter offerings to the clients and understand their requirements pass on the details to institutional business development manager and assist in converting the leads into business maintain relationship with the clients post conversion and ensure client satisfaction maintain understanding of the dynamics in client business to sense threats opportunities develop in depth understanding of one assigned or seasonality key players what clients look for what plays a key role in their decision making and a very strong network identifies trendsetter ideas by researching industry and related events publications and announcements tracking individual contributors and their accomplishments locates or proposes potential business deals by contacting potential partners discovering and exploring opportunities screens potential business deals by analyzing market strategies deal requirements potential and financials evaluating options resolving internal priorities develops negotiating strategies and positions by studying integration of new venture with company strategies and operations examining risks and potentials estimating partners needs and goals closes new business deals by coordinating requirements developing and negotiating contracts integrating contract requirements with business operations key skills experience excellent english regional language proficiency positive and professional demeanour sales skills strong persuasive skills using information at hand and logical arguments strong negotiating skills ability to seal the deal strong network in logistics related industry preferred inquisitiveness to understand the problem assignment and obtain necessary learning before setting on to work highly performance driven and smart minimum 2 3 years of experience in business development or related role territory management market knowledge presentation skills salary not disclosed by recruiter industry it software software services functional area financial services banking investments insurance role category retail personal banking role sales officer desired candidate profile education ug any graduate pg mba pgdm doctorate any doctorate any specialization doctorate not required please refer to the job description above company profile porter in porter in download ppt photo 1 view contact details,Financial Services,"['Operations', 'English']","['Operations', 'English']","['potential', 'business', 'strategies', 'requirements', 'clients', 'strong', 'key', 'related', 'skills', 'assigned']","['operations', 'english']",SKILL
job description send me jobs like this qualification dip ece area electronic production and quality pcb service testing experience 0 to 5 yr salary up to 30 hike from current salary interested candidates can attend walk in at magus groups date 30 11 15 to 5 12 15 time 10am to 4pm salary inr 50 000 3 00 000 p a industry semiconductors electronics functional area it hardware technical support telecom engineering role category telecom role electrical engineer telecom keyskills electronic production quality testing digital signal processing analog electronics vhdl signal processing service pcb board testing plc acada scada drives instrumentation desired candidate profile education ug diploma any specialization electronics telecommunication pg post graduation not required doctorate doctorate not required venue magus groups 7 c 1st floor mandi street alandur chennai 600016 near st thomas mount railway station mkn road note before attending make a call 2 for conformation company profile magus technologies pvt ltd magus technologies pvt ltd download ppt photo 1 view contact details,IT Hardware,['C'],['C'],"['electronics', 'telecom', 'groups', 'testing', 'processing', 'production', 'quality', 'technologies', 'service', 'walk']",['c'],SKILL
job description send me jobs like this responsible for business development product application and sales functions in the region this includes promotion and marketing campaigns after sales service receivables management customer complaints competitor information targets reporting salary inr 6 00 000 7 00 000 p a industry industrial products heavy machinery functional area sales retail business development role category retail sales role sales executive officer keyskills sales application engineering communication sk desired candidate profile education ug b tech b e any specialization diploma any specialization pg post graduation not required doctorate any doctorate any specialization doctorate not required should be experienced in business development and sales should have strong techno commercial knowledge and be willing to travel should possess excellent communcation and presentation skills in english local candidates preferred company profile rbcomcons a german multinational rbcomcons hiring for a mnc manufacturing high precision tools download ppt photo 1 view contact details,Sales,"['English', 'Communication']","['English', 'Communication']","['sales', 'retail', 'business', 'development', 'region', 'campaigns', 'commercial', 'includes', 'possess', 'local']","['communication', 'english']",SKILL
job description send me jobs like this handling customer queries over phone like status of orders questions about products return of orders etc handling similar queries over emails talking to courier partners to get products delivered skills fluent language basic computer skills salary inr 90 000 2 00 000 p a best in industry industry internet ecommerce functional area ites bpo kpo lpo customer service operations role category voice role associate senior associate nontechnical keyskills customer care customer support customer service cse cce crm aftersales voice process inbound customer handling customer servicing desired candidate profile education ug any graduate any specialization graduation not required pg any postgraduate any specialization post graduation not required doctorate any doctorate any specialization doctorate not required company profile confidential a leading clinet download ppt photo 1 view contact details,ITES,"['Basic Computer Knowledge', 'Internet', 'Customer Service', 'Customer Support', 'BPO', 'KPO', 'Operations']","['Basic Computer Knowledge', 'Internet', 'Customer Service', 'Customer Support', 'BPO', 'KPO', 'Operations']","['customer', 'handling', 'queries', 'associate', 'voice', 'products', 'servicing', 'similar', 'service', 'status']","['operations', 'bpo', 'kpo', 'customer service', 'internet', 'customer support']",SKILL
job description send me jobs like this your career clapping calls ends here yogam bpo yogam bpo invites any institute trained non trained medical coding freshers for regular campus drive by direct clients with same day spot selection offer letter call now salary inr 2 00 000 3 00 000 p a best in industry salary with performance incentives medical coding jobs chennai hyderabad bangalore mumbai pune delhi noida gurgaon kolkata trivandrum coimbatore salem vellore trichy madurai tirunelveli villupuram uae s arabia industry medical healthcare hospitals functional area medical healthcare r d pharmaceuticals biotechnology role category medical professional role intern keyskills medical coding medical coder clinical research medical transcription nursing pharma lifesciences bds bhms bams bsms microbiology biotech bio chemistry bio medical zoology physiotherapy icd 10 cpt cpc hipaa hcpcs desired candidate profile education ug b tech b e bio chemistry bio technology biomedical other specialization b sc bio chemistry biology dairy technology food technology home science microbiology nursing zoology general other specialization diploma other specialization bds dentistry b pharma pharmacy bvsc veterinary science mbbs medicine other graduate pg m tech bio chemistry bio technology biomedical other engineering m sc bio chemistry biology dairy technology food technology microbiology nursing zoology other m pharma pharmacy m s m d any specialization cardiology dermatology ent general practitioner gyneocology hepatology immunology microbiology neonatal nephrology urology obstretrics oncology opthalmology orthopaedic pathology pediatrics psychiatry psychology radiology rheumatology other mvsc veterinary science doctorate any doctorate any specialization doctorate not required trust with reliability only the yogam genuine recruiting method protects you as it is custom made designed to re skill you for employ ability whatsapp dial now company profile yogam bpo yogam bpo welcomes freshers yogam bpo provides you the opportunity for medical coding medical billing medical transcription and clinical research how you take advantage of this opportunity will depend on how willing you are to get totally involved download ppt photo 1 view contact details,Medical,"['R', 'BPO']","['R', 'BPO']","['medical', 'bio', 'yogam', 'chemistry', 'coding', 'bpo', 'technology', 'pharma', 'biology', 'science']","['r', 'bpo']",SKILL
job description send me jobs like this leads the planning analysis design implementation maintenance and control of the organization s server class databases consults with and advises senior management and multiple clients on high impact data or database management issues influencing strategic direction handles and leads various large scale or highly complex data database management activities including one or more of the following designing highly complex logical and or physical databases leading highly complex data modeling mapping integration and capacity planning efforts developing management policies procedures and standards and business requirements identification analysis and development provides mentoring guidance and general oversight to less experienced staff in a variety of database design administration and or modeling activities leads complex projects salary not disclosed by recruiter industry it software software services functional area it software application programming maintenance role category programming design role software developer keyskills database security analyst desired candidate profile education ug any graduate pg any postgraduate doctorate any doctorate any specialization doctorate not required please refer to the job description above company profile dexterity technologies dex tek is a customer focused and technology driven company providing product engineering and enterprise software application development services that help clients in crafting holistic value for their software development efforts we are passionate about technology and applying it to make the products better and deliver overall value our passion for what we do flows through each member of our organization and it plays an important role in the way we perform business our 20 years of proven track record of honesty smart and consistent work practices comprehensive service offerings and total commitment to client needs has enabled us to successfully exceed our clients expectations and execute more than 3 500 projects till date we offer customer friendly and flexible project approaches ensuring long term partnerships with all our clients download ppt photo 1 view contact details,IT Software - Application Programming,[],[],"['complex', 'database', 'leads', 'highly', 'clients', 'software', 'modeling', 'databases', 'data', 'management']",[],BI_TOOL
job description send me jobs like this dear candidates greetings from ey currently we are looking for dot net developers minimum experience 5 yrs to 10 yrs job location bangalore educational details be btech me mtech mca mba with a sound industry experience mandatory skills requirements strong experience in mvc experience with dotnet microsoft net technology asp net c and or vb net windows or web based development web services application blocks strong in transact sql or pl sql strong rdbms concepts with experience in either ms sql server or oracle should have strong knowledge and experience on iis real time knowledge and experience on enterprise systems application development preferably from banking or finance domain background should have understanding and experience of software development best practices excellent business communication skills important note those who have participated in the selection process with ey gds india with 6 months are not eligible to apply incase if you are planning for a shift in your career and would like to be a part of ey please fill the below details and share your updated profile to name complete name as per id proof any ph always take 2 contact numbers from the candidates current location total exp relevant exp reason for change notice period current ctc expected ctc salary not disclosed by recruiter industry it software software services functional area it software erp crm role category system design implementation erp crm role system integration technician keyskills c asp net mvc sql server desired candidate profile please refer to the job description above education pg any postgraduate company profile ernst young rmz infinity tower d 4th floor municipal no 3 old madras road k r puram bangalore download ppt photo 1 view contact details,IT Software - ERP,"['C', 'R', 'SQL', 'Oracle', 'Communication']","['C', 'R', 'SQL', 'Oracle', 'Communication']","['net', 'sql', 'experience', 'strong', 'asp', 'mvc', 'crm', 'erp', 'ctc', 'yrs']","['oracle', 'r', 'communication', 'c', 'sql']",DATABASE
job description send me jobs like this good experience on modules financials gl ap ar fa cm should have done 3 or 4 implementations and experienced in providing solutions must worked in india localization or iexpense good to have financials educational background excellent working knowledge in11i and in r12 salary not disclosed by recruiter industry it software software services functional area it software erp crm role category system design implementation erp crm role functional outside consultant keyskills ap gl ar fa r12 oracle apps functional finance desired candidate profile education ug b com commerce pg any postgraduate any specialization post graduation not required doctorate doctorate not required company profile reveille technologies inc reveille technologies is evolving as a leading global service provider delivering technology driven business solutions that meet the strategic objectives of our clients reveille provides end to end it and business process services to client worldwide utilizing a highly customized cost efficient delivery model that combines on site and off site operations as a diverse end to end it solutions provider we offer a range of expertise aimed at helping customers re engineer and re invent their business to compete successfully in an ever changing market with the final objective of giving clients the competitive edge download ppt photo 1 view contact details,IT Software - ERP,"['Oracle', 'Operations']","['Oracle', 'Operations']","['end', 'crm', 'erp', 'site', 'provider', 'solutions', 'business', 'clients', 'technologies', 'software']","['operations', 'oracle']",SKILL
job description send me jobs like this responsibilities provide technical support follow documented procedures to backup restore and maintain test environments research resolve and respond to questions received via telephone calls e mail callbacks or escalations and provide support on electronic services in accordance with current standards complete maintain and process pertinent problem tracking entries and records assist in the development of tools to support or enhance catamarans ibm iseries based products additional requirements this position requires that the individual be available for client emergencies and requests travel and short term out of town assignments may be necessary attend training sessions offered within the group and assist in training workshops salary not disclosed by recruiter industry it software software services functional area it software application programming maintenance role category programming design role software developer desired candidate profile education ug b tech b e pg m tech doctorate any doctorate any specialization doctorate not required bachelors degree from four year college or university or equivalent combination of education and experience three years of information systems experience one year of ibm iseries experience exposure to iseries architecture and operating system especially save restore and job monitoring functions exposure to ibm inavigator software exposure to iseries integrated file system ifs exposure to iseries communication protocols understanding of cl programming exposure to query 400 qm query and or sql cobol experience a plus company profile galax e solutions galax e solutions download ppt photo 1 view contact details,IT Software - Application Programming,"['SQL', 'Communication']","['SQL', 'Communication']","['exposure', 'ibm', 'assist', 'software', 'support', 'year', 'maintain', 'training', 'experience', 'programming']","['communication', 'sql']",SKILL
job description send me jobs like this medical coding is the process of converting verbal descriptions into numeric or alpha numeric by using icd 9 cm cpt hcpcs as per hipaa rules healthcare providers need efficient medical coders self supportive training ll be provided for freshers salary inr 1 50 000 2 25 000 p a 9600 to 13700 pm initially with assured career growth excluding special allowances other benefits industry medical healthcare hospitals functional area medical healthcare r d pharmaceuticals biotechnology role category medical professional role intern keyskills medical coding life science nursing paramedical physio dental pharma microbiology biology zoology biotechnology biochemistry biomedical bioinformatics bams bsms bhms bpt mpt freshers dmlt nutrition dieteetics genetics nestem desired candidate profile education ug b tech b e bio chemistry bio technology biomedical b sc any specialization bio chemistry biology botany home science microbiology nursing zoology b pharma pharmacy bds dentistry pg m sc any specialization bio chemistry biology botany home science microbiology nursing zoology m pharma pharmacy doctorate any doctorate any specialization doctorate not required ug pg in life science medical paramedical dental pharmacy physiotherapy nursing microbiology biochemistry biotechnology biology biomedical zoology bioinformatics bsms bams bhms bnys bums bems genetics botony nutrition dietetics company profile nestem technologies nestem technologies is an iso 9001 2008 certified leading healthcare bpo service provider nestem technologies is offering different services like direct placement training assured placement in medical coding billing field with major us mnc bpo s download ppt photo 1 view contact details,Medical,"['R', 'BPO']","['R', 'BPO']","['medical', 'biology', 'bio', 'pharmacy', 'chemistry', 'healthcare', 'biotechnology', 'science', 'pharma', 'coding']","['r', 'bpo']",SKILL
job description send me jobs like this job description promote company software and web services following up new business opportunities and setting up appointment and meet clients planning and preparing presentations as per client needs communicating on phone explain our services find there requirement find new clients online sending proposal email to new client establishing and maintaining working relationships communicating new services developments to prospective clients meet with business targets set for the accounting year on a monthly basis and ensure a steady booking of orders throughout the year desired profile good business sense understanding about their market and competitorsrsquo services good communications skills both writing and verbally to be self motivated but able to work as part of a team good organisational and time management skills a positive attitude good negotiation skills and persuasiveness confidence presenting to large groups of people salary not disclosed by recruiter industry it software software services functional area sales retail business development role category corporate sales role sales executive officer desired candidate profile education ug any graduate pg mba pgdm doctorate any doctorate any specialization doctorate not required please refer to the job description above company profile cybell technosys pvt ltd cybell technosys pvt ltd download ppt photo 1 view contact details,Sales,[],[],"['new', 'good', 'sales', 'clients', 'business', 'services', 'meet', 'year', 'skills', 'setting']",[],SKILL
job description send me jobs like this should be capable of handling independently accounts and book keeping from basics to preparation of balance sheet banking brs financial including payable receipts statutory stocks including e filing of returns etc good knowledge in budget salary inr 2 00 000 3 00 000 p a industry construction engineering cement metals functional area accounts finance tax company secretary audit role category accounts role accounts executive accountant keyskills accounting balance sheet profit cash flow loss fund flow statement desired candidate profile education ug any graduate any specialization pg any postgraduate any specialization post graduation not required doctorate any doctorate any specialization doctorate not required please refer to the job description above company profile intech group of companies fast growing engineering organisation involved in wide spectrum of activities like material handling industrial automation weighbridges and weighing solutions fire alarm systems access cards and building management systems download ppt photo 1 view contact details,Accounts,[],[],"['accounts', 'flow', 'handling', 'including', 'systems', 'statutory', 'engineering', 'cash', 'accountant', 'material']",[],SKILL
job description send me jobs like this domain structural thermalanalysis cae experience 3 yrs oem experience 1 yrs cae tools preferred abaqus radtherm starccm hm ansa hands on experience structural thermal analysis shock and cell bulging and thermal analysis in battery pack salary inr 2 00 000 7 00 000 p a market standard industry automobile auto anciliary auto components functional area engineering design r d role category r d role r d executive keyskills hypermesh cae hm fe model ansa abaqus starccm radtherm desired candidate profile education ug b tech b e any specialization diploma any specialization pg m tech any specialization doctorate doctorate not required candidates who meets all the following criteria are only requested to apply for this position 1 who can join within 30 days time 2 who can attend interview in chennai 3 who meets the skill set abaqus radtherm starccm company profile creative engineering consultants india pvt ltd mnc in chennai creative engineering consultants india pvt ltd chennai is an iso 9001 2008 certified one of the fastest growing hr engineering consultancy in india our organization is a high caliber professional technology driven recruitment company download ppt photo 1 view contact details,Engineering Design,['R'],['R'],"['engineering', 'chennai', 'auto', 'creative', 'consultants', 'yrs', 'india', 'analysis', 'fastest', 'anciliary']",['r'],BI_TOOL
job description send me jobs like this we are looking for a consultant radiologist position for rohini and tilak nagar delhi pune lucknow kanpur hyderabad srikakulam if you are interested please send me your update profile salary inr as per the market standards industry medical healthcare hospitals functional area medical healthcare r d pharmaceuticals biotechnology role category medical professional role radiologist keyskills radiologist radiology radio diagnosis dmrd dnb desired candidate profile education ug any graduate any specialization graduation not required pg any postgraduate any specialization post graduation not required doctorate any doctorate any specialization doctorate not required please refer to the job description above company profile makro technologies p ltd it and scientific services firm with 500 employees in us are in business for over 10 years it is recognized as one of the 500 fastest growing technology firms in us ne of the fast 50 technology firms in nj awarded by deloitte for 2005 2006 2007 download ppt photo 1 view contact details,Medical,['R'],['R'],"['medical', 'firms', 'healthcare', 'technology', 'biotechnology', 'update', 'fastest', 'hospitals', 'pune', 'delhi']",['r'],SKILL
job description send me jobs like this we have immediate opening for sas developer for our financial domain client in mumbai min 2 yr experience required please share your resume narendra jakhotia quickxpertinfotech com and call us on salary inr 4 00 000 7 00 000 p a industry it software software services functional area it software application programming maintenance role category programming design role software developer keyskills sas programming sas reporting sas closing sas programmer reporting sas budgeting sas forecasting sas financial reporting sas financial analysis sas variance analysis sas fp a sas fpa statistics fpa sas programmer fpa desired candidate profile education ug any graduate any specialization b sc any specialization b tech b e any specialization b com commerce diploma any specialization bca computers graduation not required b a any specialization b arch architecture b b a management b ed education b pharma pharmacy other graduate pg m tech any specialization mca computers m sc any specialization any postgraduate any specialization mba pgdm any specialization m a any specialization m com commerce other pg diploma any specialization m ed education post graduation not required doctorate any doctorate any specialization doctorate not required 1 work is at our client side 2 immediate joiners preferred 3 max 10 15 days notice period allowed 4 don t apply if you cannot meet the requirement 5 you will work on payroll of quickxpert for our client company profile quickxpert infotech quickxpert infotech specializes into software development internship consultancy fresher placements students and corporate training in thane mumbai download ppt photo 1 view contact details,IT Software - Application Programming,[],[],"['specialization', 'reporting', 'com', 'infotech', 'financial', 'mumbai', 'immediate', 'software', 'commerce', 'computers']",[],BI_TOOL
